listing_key,ticker,exchange,current_name,twelvedata_name,twelvedata_type,type_scope,review_batch,name_score,adjudication_decision,apply_eligibility,evidence_tier,confidence,recommended_operation,source_gate,evidence_summary,provider_validation_status,provider_supports_twelvedata,provider_supports_local,provider_conflicts,openfigi_status,openfigi_figi,local_figi,figi_relation,venue_status,official_source_count,reference_scopes,verification_name_mismatch,masterfile_matches,reviewed_name_override,source_of_truth_outcome,source_of_truth_gate,deepseek_decision_candidate,deepseek_safe_action
NASDAQ::JLHL,JLHL,NASDAQ,Julong Holding Limited Class A Ordinary Shares,Julong Holding Limited,Common Stock,supported_core_stock_type,batch_a_us_core,0.538,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG01T4SSQM7,BBG01T4SSQM7,local_figi_match,official_full,2,exchange_directory,18,4490,,,,needs_official_evidence,needs_official_evidence
NASDAQ::VSNT,VSNT,NASDAQ,"Versant Media Group, Inc. Class A Common Stock When-Issued","Versant Media Group, Inc.",Common Stock,supported_core_stock_type,batch_a_us_core,0.535,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.88,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only.,second_source_supports_twelvedata_name,OpenFIGI|AlphaVantage,,false,ok,BBG01Y0M8K11,,openfigi_only,official_full,2,exchange_directory,18,4490,,,,needs_official_evidence,needs_official_evidence
NASDAQ::WMT,WMT,NASDAQ,Walmart Inc. Common Stock,Walmart Inc.,Common Stock,supported_core_stock_type,batch_a_us_core,0.519,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI|AlphaVantage,,false,ok,BBG000BWXBC2,BBG000BWXBC2,local_figi_match,official_full,2,exchange_directory,18,4490,,,,needs_official_evidence,needs_official_evidence
NYSE::BG,BG,NYSE,Bunge Limited,Bunge Global S.A.,Common Stock,supported_core_stock_type,batch_a_us_core,0.476,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.88,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only.,second_source_supports_twelvedata_name,OpenFIGI|AlphaVantage,,false,ok,BBG01JZ8VL91,,openfigi_only,official_full,2,exchange_directory,0,2042,,,,needs_official_evidence,needs_official_evidence
NYSE::RH,RH,NYSE,RH Common Stock,RH,Common Stock,supported_core_stock_type,batch_a_us_core,0.235,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI|AlphaVantage,,false,ok,BBG002293PJ4,BBG002293PJ4,local_figi_match,official_full,2,exchange_directory,0,2042,,,,needs_official_evidence,needs_official_evidence
OTC::AAYYY,AAYYY,OTC,Australian Agricultural Company Limited,AACL Holdings Ltd.,American Depositary Receipt,supported_core_stock_type,batch_a_us_core,0.318,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.88,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG002CND6S3,,openfigi_only,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::ABBNY,ABBNY,OTC,ABB Ltd,ABB Ltd. Sponsored ADR,American Depositary Receipt,supported_core_stock_type,batch_a_us_core,0.3,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG000DK5Q25,BBG000DK5Q25,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::ABNAF,ABNAF,OTC,Aben Resources Ltd,Aben Gold Corp.,Common Stock,supported_core_stock_type,batch_a_us_core,0.522,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG000C0KBR9,BBG000C0KBR9,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::ACCYY,ACCYY,OTC,Accor SA Ltd,Accor S.A. Sponsored ADR,American Depositary Receipt,supported_core_stock_type,batch_a_us_core,0.357,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG00878H9Z1,BBG00878H9Z1,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::ACDSF,ACDSF,OTC,Ascendas Real Estate Investment Trust,CapitaLand Ascendas REIT,REIT,supported_core_stock_type,batch_a_us_core,0.393,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG000M0JR22,BBG000M0JR22,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
