ticker,exchange,confidence,reason
CGBI,AMS,0.99,Official TMX listed-issuers workbook shows CGBI as a TSX ETF while the current AMS core row carries a Canadian ISIN and is a wrong-venue contamination.
RDZNW,NASDAQ,0.99,Roadzen's SEC filings identify RDZNW as a warrant; the Stock/ETF schema cannot represent warrants safely, so exclude this derivative from the equity dataset.
A1G,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: acquired_taken_private (absent from current JPX/ASX master, web+adversarial verified)"
AHX,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: acquired_taken_private (absent from current JPX/ASX master, web+adversarial verified)"
AKP,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: delisted_defunct (absent from current JPX/ASX master, web+adversarial verified)"
DUI,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: acquired_taken_private (absent from current JPX/ASX master, web+adversarial verified)"
EMUCA,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: noncommon (absent from current JPX/ASX master, web+adversarial verified)"
FM1,ASX,0.95,db-wide audit 2026-06-21: debt security / RMBS note (not equity/ETF)
ICI,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: delisted_defunct (absent from current JPX/ASX master, web+adversarial verified)"
IFL,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: acquired_taken_private (absent from current JPX/ASX master, web+adversarial verified)"
KFW,ASX,0.99,"Current official ASX listed-companies CSV fetched 2026-07-07 does not list KFW, and issuer evidence identifies KfW securities as medium-term note/debt instruments rather than a current stock/ETF listing; drop stale non-core row."
NSR,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: acquired_taken_private (absent from current JPX/ASX master, web+adversarial verified)"
RAMHA,ASX,0.99,"Official ASX quote context identifies RAMHA with ISIN AU0000420325 and a bond-style description, and issuer materials identify RAMHA as RAM Secured Income Notes; drop debt/note instrument from current stock/ETF scope rather than preserving a missing-ISIN stock residual."
RXR,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: acquired_taken_private (absent from current JPX/ASX master, web+adversarial verified)"
WR1,ASX,0.95,"JP/AU delisting-staleness 2026-06-19: acquired_taken_private (absent from current JPX/ASX master, web+adversarial verified)"
WSE,ASX,0.95,"Correctness re-audit 2026-06-16: 'SERIES 2021-1 WST TRUST' is an RMBS securitisation trust, not an ETF or stock; out of scope for a stock/ETF dataset. Verified via issuer/ASX."
XCL,ASX,0.99,"Current official ASX listed-companies CSV fetched 2026-07-07 does not list XCL, and market references identify Australian Commonwealth Government Loans as bond/government-loan instruments rather than a stock/ETF listing; drop stale non-core row."
ZOR,ASX,0.98,"Current official ASX listed-companies CSV fetched 2026-07-07 does not list ZOR, and the residual row name is only an instrument descriptor (ORDINARY UNLISTED/LISTED - COSACS) with no current issuer identity or ISIN; drop stale non-core row."
INLOT,ATHEX,0.97,rename-dedup 2026-06-21: stale old ticker; renamed Intralot to Ballys Intralot; current ATHEX ticker BYLOT (same ISIN GRS343313003) already present
IFNC,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
IPNN3,B3,0.99,"Official B3 capital-social workbook identifies IPNN as TESTE IPN VS SA with segment OUTROS, and current B3 masterfile gap review finds no active exchange-directory candidate; test/non-equity row is outside the current stock/ETF export scope."
ITAG,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
PLSP3,B3,0.98,"Current official B3 InstrumentsEquities data lists Plascar Participacoes Industriais S.A. under active ticker PLAS3 with ISIN BRPLASACNOR2, and the dataset already carries B3::PLAS3 with reviewed Consumer Discretionary sector. PLSP3 / Plascorp Participacoes is absent from current B3 masterfile sources with a distinct stale ISIN, so drop the stale non-current row rather than assigning a sector to it."
SANY6,B3,0.95,db-wide audit 2026-06-21: not currently listed on B3
TF473,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF475,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF483,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF485,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF493,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF495,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF503,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF513,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF519,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF523,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF525,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF543,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF545,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF553,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF563,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF565,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF573,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF575,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF583,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF585,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF593,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF603,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF623,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF655,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF665,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF675,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF681,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF685,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF693,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF703,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF713,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
TF723,B3,0.99,Official B3 equity directory does not list this phantom/index-style symbol as an active common equity.
CGTL,BATS,0.96,"Yahoo Finance resolves this symbol to NasdaqCM rather than the current exchange, indicating the current listing is stale."
FGRO,BATS,0.99,"Official active directories place FGRO on NEO and LSE while the remaining BATS row carries the Canadian Fidelity fund identity, so the BATS core line is an exchange misassignment."
VHAI,BATS,0.96,"Yahoo Finance resolves this symbol to OTC Markets OTCID rather than the current exchange, indicating the current listing is stale."
ZTST,BATS,0.99,"No official active exchange reference exists for ZTST and the remaining BATS row is only a code placeholder, so it should not stay in the core dataset."
GALI,BCBA,0.99,"Grupo Financiero Galicia SEC 20-F history states Banco Galicia requested delisting from BYMA and its quotation was suspended on 2014-04-30; issuer/current market evidence identifies the active Galicia class B equity as Grupo Financiero Galicia under GGAL, not Banco Galicia under GALI. Drop stale predecessor bank-share row rather than filling a current GGAL ISIN onto the wrong ticker."
ACTI500M,BMV,0.99,Official BMV ETF/TRACS search does not list this symbol as an active BMV ETF or TRACS product.
