listing_key,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,deepseek_decision_candidate,deepseek_safe_action,deepseek_confidence,provider_queue,validation_status,evidence_required,review_batch
TSXV::MUSH,MUSH,TSXV,XTSX,Mercanto Holdings Inc.,The Good Shroom Co Inc.,Common Stock,0.071,needs_official_evidence,needs_official_evidence,0.2,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
TSXV::TM,TM,TSXV,XTSX,Trigon Metals Inc.,Safi Silver Corp.,Common Stock,0.083,needs_official_evidence,needs_official_evidence,0.2,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
TSXV::RPX,RPX,TSXV,XTSX,Red Pine Exploration Inc.,RPX Gold Inc.,Common Stock,0.143,needs_official_evidence,needs_official_evidence,0.2,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
TSX::LVMH,LVMH,TSX,XTSE,LVMH CDR (CAD Hedged),"LVMH Moët Hennessy Louis Vuitton, Société Européenne – Depositary Receipt (underlying: LVMH Moët Hennessy Louis Vuitton SE, Euronext Paris)",Depositary Receipt,0.163,needs_official_evidence,needs_official_evidence,0.4,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
NEO::LV,LV,NEO,NEOE,LVMH CDR (CAD hedged),LVMH Moët Hennessy Louis Vuitton Société Européenne American Depositary Receipt,Depositary Receipt,0.227,needs_official_evidence,needs_official_evidence,0.2,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
TSX::SAPS,SAPS,TSX,XTSE,SAP CDR (CAD Hedged),SAPS,Common Stock,0.273,needs_official_evidence,needs_official_evidence,0.1,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
NEO::SAPG,SAPG,NEO,NEOE,SAP SE CDR (CAD Hedged),SAP SE,Depositary Receipt,0.286,needs_official_evidence,needs_official_evidence,0.35,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
TSX::CITI,CITI,TSX,XTSE,Citigroup CDR (CAD Hedged),CITI,Common Stock,0.286,needs_official_evidence,needs_official_evidence,0.1,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
TSXV::CBLT,CBLT,TSXV,XTSX,CBLT Inc.,Cobalt Blockchain Inc.,Common Stock,0.286,needs_official_evidence,needs_official_evidence,0.2,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
TSXV::FMT,FMT,TSXV,XTSX,Fuerte Metals Corporation,Talamore Mining Corp.,Common Stock,0.286,needs_official_evidence,needs_official_evidence,0.2,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_b_canada
