ticker,exchange,alias,reason,confidence
0BFA,LSE,BASFY,BASFY is the US OTC ADR ticker for BASF — a separate listed instrument. Including it as an alias for the LSE listing creates cross-listing collision and conflates two distinct securities.,0.82
0E1Y,LSE,getnet adquirencia,Getnet Adquirência is a Brazilian payment company unrelated to Chargeurs (French industrial group). Alias is a clear cross-company contamination.,0.88
0HEC,LSE,AEPPZ,"AEPPZ is a preferred/subordinated debt ticker for American Electric Power, not the common equity. It represents a different security and should not alias the common stock LSE listing.",0.8
0IFK,LSE,gene editing,Generic sector descriptor shared across 6+ companies. Provides no disambiguation value and pollutes search results.,0.82
0J1Z,LSE,premier investments,Premier Investments is an Australian retail company entirely unrelated to NOS SGPS (Portuguese telecom). Clear cross-company contamination.,0.88
0JBU,LSE,gene editing,"Generic sector descriptor shared across 6+ companies including CRSP, EDIT, NTLA, 0IFK, 0VRQ. No disambiguation value.",0.82
0JU0,LSE,LEN-B,LEN-B is the ticker for Lennar Corp Class B shares — a distinct security from this entry which is specifically Lennar Cl A. Using a different share class as an alias causes cross-security collision.,0.83
0QXR,LSE,chrysler,"Chrysler is a legacy brand within Stellantis, not the issuer name. Product/brand alias.",0.87
0QXR,LSE,jeep,"Jeep is a consumer vehicle brand owned by Stellantis, not the company or fund name. Product brand aliases should not be included.",0.87
0QXR,LSE,ram trucks,"RAM Trucks is a vehicle brand owned by Stellantis, not the issuer name. Product/brand alias.",0.87
0QYJ,LSE,marc benioff,"Person/celebrity name; should never serve as a ticker alias for the corporate entity Salesforce, Inc.",0.8
21XJ,XETRA,airbnb,'airbnb' refers to Airbnb Inc. (ABNB); it has no relation to the 21Shares Binance BNB ETP. The phonetic similarity between 'BNB' and 'ABNB' is not a legitimate alias basis.,0.8
AAT,NYSE,alta,Yahoo alias verification marked `alta` as likely_other_entity.,
ABS,OSL,abs cbn,Yahoo alias verification marked `abs cbn` as likely_other_entity.,
ABS,OSL,asseco business solutions,Yahoo alias verification marked `asseco business solutions` as likely_other_entity.,
ABS,OSL,binhthuan agriculture services jsc,Yahoo alias verification marked `binhthuan agriculture services jsc` as likely_other_entity.,
ADB,XETRA,applied db public,Yahoo alias verification marked `applied db public` as likely_other_entity.,
AEV,ASX,aboitiz equity ventures,"Aboitiz Equity Ventures is a Philippine conglomerate listed on PSE as AEV, unrelated to ASX-listed Avenira Ltd.",0.8
AFE,TSXV,aeci,AECI is a South African chemicals company unrelated to Africa Energy Corp; abbreviation collision with no lexical match to the issuer name.,0.8
AGI,NYSE,ainsworth game technology,Ainsworth Game Technology is an Australian gaming company (ASX: AGI); unrelated to Alamos Gold.,0.8
AGI,NYSE,alliance global,Alliance Global Group is a Philippine conglomerate; unrelated to Alamos Gold.,0.8
AI1,ASX,c3.ai,"C3.ai is a US company listed on NYSE as AI, entirely unrelated to ASX-listed Adisyn Ltd.",0.85
AIAI,LSE,netramark,NetraMark is a separate company (Canadian AI diagnostics firm) with no relation to the L&G Artificial Intelligence UCITS ETF.,0.85
ALM,NASDAQ,alliance mining,Yahoo alias verification marked `alliance mining` as likely_other_entity.,
ALM,NASDAQ,alm equity ab,Yahoo alias verification marked `alm equity ab` as likely_other_entity.,
ALSEN,Euronext,rivernorth flexible municipal income,"RiverNorth Flexible Municipal Income Fund (NYSE:RFM) is a US closed-end fund, entirely unrelated to French biotech Sensorion SA.",0.8
ALT,NASDAQ,alt telecom public,Yahoo alias verification marked `alt telecom public` as likely_other_entity.,
ALT,NASDAQ,alta,Yahoo alias verification marked `alta` as likely_other_entity.,
ALT,NASDAQ,alteo,Yahoo alias verification marked `alteo` as likely_other_entity.,
ALT,NASDAQ,altitude,Yahoo alias verification marked `altitude` as likely_other_entity.,
ALT,NASDAQ,altur slatina,Yahoo alias verification marked `altur slatina` as likely_other_entity.,
ALT,NASDAQ,alturas minerals,Yahoo alias verification marked `alturas minerals` as likely_other_entity.,
ALV,NYSE,allianz,Allianz SE is a distinct German insurance company (ETR:ALV); no corporate connection to Autoliv Inc.,0.8
