listing_key,ticker,exchange,review_kind,classification,decision_candidate,safe_action,confidence,evidence_needed,rationale,do_not_apply_reason
TSXV::MUSH,MUSH,TSXV,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,Official source confirming whether The Good Shroom Co Inc. changed name to Mercanto Holdings Inc. or if they are different securities.,"Names are completely different with low similarity score. Without corporate action evidence, cannot determine if this is a rename or a new listing.",No official evidence for name change; risk of misattributing price data.
TSXV::TM,TM,TSXV,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,Confirm if Safi Silver Corp. was renamed to Trigon Metals Inc. or if they are distinct entities.,Severe name mismatch with score 0.083. Requires official verification.,Missing official name change confirmation.
TSXV::RPX,RPX,TSXV,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,Official source indicating whether RPX Gold Inc. changed name to Red Pine Exploration Inc.,Low similarity score despite shared 'RPX'. Likely a rename but needs confirmation.,Lack of official rename evidence.
TSX::LVMH,LVMH,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.4,Confirm that the Twelve Data name refers to the same LVMH CDR listed on TSX under ticker LVMH.,"Local name is a short form of the full depositary receipt name. Likely the same security, but without explicit mapping, unsafe to apply.",Missing official confirmation that Twelve Data name maps to the local listing.
NEO::LV,LV,NEO,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,"Clarify if this NEO LV listing is equivalent to the American Depositary Receipt referenced by Twelve Data, or if it's a different instrument.",Twelve Data name mentions 'American Depositary Receipt' which may not match the Canadian CDR. Requires verification.,Potential mismatch between ADR and CDR types.
TSX::SAPS,SAPS,TSX,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,Twelve Data entry appears to use ticker as name; verify the actual security name for SAPS and whether it corresponds to the SAP CDR.,"TD name 'SAPS' is likely the ticker, not the full name, indicating a data integrity issue.",Data quality issue; name is not descriptive.
NEO::SAPG,SAPG,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.35,Confirm that the CDR for SAP SE (ticker SAPG on NEO) is the same as the depositary receipt named 'SAP SE' in Twelve Data.,"Names are highly similar, differing only in the CDR suffix. Likely same security, but official confirmation needed.",Absence of explicit CDR mapping.
TSX::CITI,CITI,TSX,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,Twelve Data name 'CITI' is likely a ticker; obtain full security name to verify match with Citigroup CDR.,"Ticker used as name, data quality issue.",Potentially incorrect name data.
TSXV::CBLT,CBLT,TSXV,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,Official source to confirm if Cobalt Blockchain Inc. changed name to CBLT Inc. or if they are different.,"Names share 'CBLT' acronym but are not identical. Possible rename, requires evidence.",No official name change record.
TSXV::FMT,FMT,TSXV,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,Check if Talamore Mining Corp. was renamed to Fuerte Metals Corporation.,Completely different names. Either a rename or different company.,Unknown relationship without official documentation.
NEO::HERM,HERM,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.4,Confirm the mapping between the CDR 'Hermes' on NEO and the Twelve Data 'Hermès International Société en commandite par actions' depositary receipt.,"Both refer to Hermès depositary receipt. Likely same, but confirmation needed.",Need official linkage of local CDR to Twelve Data's DR record.
TSXV::RDS,RDS,TSXV,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.3,Verify if Radisson Mining Resources Inc. is the same as Ressources Minieres Radisson Inc (possibly French/English names).,Names appear to be the same company but in different languages. Official confirmation required.,Unconfirmed name correspondence.
TSX::ORAC,ORAC,TSX,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,Twelve Data name 'ORAC' appears to be a ticker; retrieve full name to confirm it's Oracle CDR.,Ticker as name; data quality issue.,Insufficient name data.
TSXV::MKT,MKT,TSXV,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,Official evidence whether Prospect Prediction Markets Inc. changed to DeepMarkit Corp.,Dissimilar names. Requires name change verification.,No official record of rename.
NEO::ZCOI,ZCOI,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.4,"Confirm that the BMO CDR for Coinbase (ticker ZCOI) corresponds to Twelve Data's 'Coinbase Global, Inc. Depositary Receipt'.","Both refer to a Coinbase depositary receipt. Likely same, but needs explicit mapping.",Awaiting official confirmation of CDR equivalence.
TSX::NSTL,NSTL,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.4,Verify that the TSX Nestlé CDR (NSTL) matches the 'Nestlé S.A. Depositary Receipt' from Twelve Data.,"Names are substantially similar, but official linkage is missing.",Official cross-reference needed.
NEO::ZVST,ZVST,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.4,Confirm that the BMO CDR for Vistra (ZVST) is the same as the Vistra Corp. depositary receipt in Twelve Data.,"Both are Vistra depositary receipt. Likely same, but needs verification.",No official mapping between CDR and DR symbols.
NEO::ZAAP,ZAAP,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.4,Verify that the Apple CDR (ZAAP) is equivalent to the Apple Depositary Receipt (APC0) from Twelve Data.,"Both are Apple depositary receipt variants. Likely the same, but confirmation required.",Need to reconcile different DR identifiers.
NEO::ZPYP,ZPYP,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.4,Confirm that the PayPal CDR (ZPYP) matches the PayPal CDR with identifier 2PP1 in Twelve Data.,"Both refer to PayPal Canadian Depositary Receipt. Names are very similar; likely same, but needs official mapping.",Missing official linkage between CDR identifiers.
NEO::ZINT,ZINT,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.4,Validate that the Intel CDR (ZINT) is the same as the 'Intel Corporation Depositary Receipt' in Twelve Data.,"Both are Intel depositary receipt. Likely same, but official confirmation is needed.",Awaiting official confirmation of CDR equivalence.
TSXV::ILC,ILC,TSXV,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official source confirming whether International Lithium Corp. changed its name to ILC Critical Minerals Ltd., or if they are separate entities.","Names differ significantly, suggesting a possible rename, but no regulatory filing or exchange notice is provided to verify same underlying.",Name mismatch; no official evidence of rename or identical security.
NEO::ZMCD,ZMCD,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,"Official exchange listing or issuer documentation confirming that NEO ticker ZMCD is a CAD-hedged CDR for McDonald's Corporation, matching Twelvedata's Depositary Receipt.",Names are structurally similar but differ in hedged/CDR descriptor details; need official cross-reference.,DR descriptor mismatch; no official confirmation of identical listing.
NEO::ZCOS,ZCOS,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,"Official confirmation that NEO ticker ZCOS represents a CAD-hedged BMO CDR for Costco Wholesale Corporation, same as Twelvedata's 'Costco Wholesale Corporation Depositary Receipt'.",Local name has typo and BMO/CAD-hedged qualifiers absent in Twelvedata; official mapping required.,Format mismatch; insufficient evidence of identical security.
NEO::ZAPO,ZAPO,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,"Official exchange listing verifying ZAPO is Apollo Global Management's CAD-hedged CDR, consistent with Twelvedata's Canadian Depositary Receipt.",Names point to same company but differ in CDR specifics; official evidence needed to rule out a separate security.,CDR descriptor mismatch; needs official confirmation.
NEO::ZBA,ZBA,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,Official source linking NEO's ZBA (Boeing BMO CAD Hedged CDR) to Twelvedata's 'The Boeing Company Canadian Depositary Receipt'.,"Similar base company but different CDR labeling; without official cross-reference, identity is uncertain.",CDR label mismatch; no official evidence of exact match.
NEO::ZMSF,ZMSF,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,"Official confirmation that ZMSF (Microsoft BMO CAD Hedged CDR) corresponds to Twelvedata's Depositary Receipt for Microsoft Corporation, despite name discrepancy.",Twelvedata name lacks CDR mention; could be a different receipt or error. Official documentation required.,Missing CDR qualifier in Twelvedata name; needs official verification.
TSX::ZYNS,ZYNS,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official evidence whether TSX's ZYNS (Philip Morris CDR) is the same as Twelvedata's 'Philip Morris International Inc. Depositary Receipt'.,Name mismatch ('Philip Morris' vs 'Philip Morris International Inc.') may indicate different entities; official filing needed.,Potential entity mismatch due to name truncation; no official proof of same security.
TSX::PIF,PIF,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official corporate action or regulatory filing confirming the name change from Polaris Infrastructure Inc. to Polaris Renewable Energy Inc.,"Distinct names suggest a rebrand; without official confirmation, it cannot be assumed as same issuer.",Name change not verified; missing official evidence.
TSX::UBSS,UBSS,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,"Official exchange listing confirming UBSS is the CAD-hedged CDR for UBS Group AG, as per Twelvedata's Canadian Depositary Receipt.",Names are similar but differ in CDR descriptor; official cross-reference needed to validate identical security.,CDR descriptor mismatch; no official confirmation.
TSX::INGS,INGS,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,Official documentation that INGS (ING CDR CAD Hedged) is the same as Twelvedata's Depositary Receipt for ING Groep N.V.,"Twelvedata name omits CDR, and local name abbreviates 'ING'; need official linkage to confirm identical security.",Naming inconsistency; no official evidence of same underlying receipt.
NEO::ZLLY,ZLLY,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,"Official exchange record showing ZLLY is the BMO CAD-hedged CDR for Eli Lilly and Company, matching Twelvedata's Canadian Depositary Receipt.","Names differ in CDR descriptor details; without official source, mapping remains uncertain.",CDR label mismatch; needs official confirmation.
TSX::SNY,SNY,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.35,Official source verifying that SNY (Sanofi CDR CAD Hedged) corresponds to Twelvedata's 'Sanofi SA Unsponsored Canadian Depositary Receipt Hedged Reg S'.,Names are similar but Twelvedata adds 'Unsponsored' and 'Reg S' qualifiers; official financial product details required.,Additional DR qualifiers in Twelvedata name; need official verification of identical security.
TSX::BENZ,BENZ,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,"Official exchange listing confirming BENZ is the CAD-hedged CDR for Mercedes-Benz Group AG, matching Twelvedata's Depositary Receipt.",Names differ in hedged descriptor; need official evidence to assert same security.,CDR descriptor mismatch; no official confirmation.
NEO::ZWMT,ZWMT,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official confirmation whether ZWMT (Walmart BMO CAD Hedged CDR) is equivalent to Twelvedata's 'Walmart Inc. American Depositary Receipt', considering the ADR vs CDR structural difference.",Different depositary receipt types (CDR vs ADR) may represent distinct securities; official cross‑listing evidence needed.,ADR/CDR structural mismatch; no official evidence of same security.
TSX::CMGS,CMGS,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,"Official exchange listing verifying CMGS is the CAD-hedged CDR for Chipotle Mexican Grill Inc., as in Twelvedata's Canadian Depositary Receipt.",Names are similar but CDR descriptor differs; official source needed for certainty.,CDR label mismatch; no official evidence of identical listing.
NEO::ZXOM,ZXOM,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.3,Official confirmation that NEO's ZXOM (Exxon Mobil BMO CAD Hedged CDR) equals Twelvedata's 'Exxon Mobil Corporation Depositary Receipt'.,Names differ in BMO/hedged qualifier; need official cross‑reference.,CDR descriptor mismatch; no official confirmation.
TSXV::AXO,AXO,TSXV,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official corporate notice or regulatory filing confirming name change from AXO Copper Corp. to Axo Metals Corp., or if they are separate entities.",Distinct company names ('Copper' vs 'Metals') suggest a possible rename; official evidence required.,Name change unconfirmed; lacks official evidence.
TSXV::KOVO,KOVO,TSXV,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official filing or exchange bulletin confirming name change from Kovo Healthtech Corp to Kovo Holdings Inc., or that they are distinct.",Name divergence ('Healthtech' vs 'Holdings') indicates possible rebrand; need official documentation.,Possible rename not supported by official source.
NEO::NTDO,NTDO,NEO,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.35,"Official exchange listing confirming NTDO is the CAD-hedged CDR for Nintendo Co., Ltd., matching Twelvedata's Depositary Receipt (despite name omission).",Local name includes CDR and hedging; Twelvedata name is plain. Need official linkage.,CDR descriptor omitted in Twelvedata name; needs official verification.
TSX::CGY,CGY,TSX,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official corporate action confirming the name change from Calian Technologies Ltd to Calian Group Ltd.,"Different company names may indicate a rebrand; without official evidence, cannot assume identical issuer.",Name change not verified; missing official source.
TSXV::KLX,KLX,TSXV,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,"Official issuer documentation confirming whether 'Klimat X Developments Inc.' and 'Carbon Done Right Development LLC' represent the same underlying entity (e.g., name change or merger evidence).","Very low name similarity (0.519) with substantially different company names; could indicate a rename or a different security entirely. Without official evidence, cannot determine if this is the same stock.",Missing official evidence linking the local and Twelve Data names.
TSXV::WED,WED,TSXV,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,"Official source (e.g., regulatory filing) confirming that 'Westaim Corporation (The)' and 'The Westaim Corporation Common Stock' refer to the same issuer, despite formatting differences.","Names appear related but low similarity score (0.519) due to placement of 'The'. Likely the same issuer, but official confirmation is required to avoid assumption.",Missing official evidence to confirm identity of the issuer.
TSX::LORL,LORL,TSX,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Documentation clarifying whether the L'Oréal CDR (CAD Hedged) and L'Oréal SA ADR (LOR0) represent equivalent depositary receipts or distinct instruments.,Both reference L'Oréal but different DR structures (CDR vs ADR). Low name similarity (0.526) reflects structural differences; cannot assume they are the same security.,Missing official evidence to equate CDR and ADR instruments.
TSX::SMNS,SMNS,TSX,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Official confirmation whether the Siemens CDR (CAD Hedged) and Siemens AG American Depositary Receipt are the same or different listings.,Names both indicate Siemens AG but different deposit types. Low similarity (0.526) due to varied descriptions; requires verification.,Missing official evidence linking CDR and ADR instruments.
NEO::NEST,NEST,NEO,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,"Evidence that the Nestlé CDR (CAD Hedged) and Nestlé S.A. Deposit Receipt are the same security, despite naming variations.",Both refer to Nestlé but different descriptions; low similarity score (0.533) indicates uncertainty. Official linkage required.,Missing official evidence confirming instrument equivalence.
TSX::TTES,TTES,TSX,twelvedata_name_mismatch,needs_official_evidence,keep_source_gap,source_gap_accept,0.3,Official documentation demonstrating that TotalEnergies CDR (CAD Hedged) and TotalEnergies SE Depositary Receipt represent the same listed instrument.,Similar underlying entity but low string similarity (0.533) due to CAD Hedged vs SE Depositary Receipt; needs verification.,Missing official evidence to confirm same security.
