listing_key,ticker,exchange,asset_type,name,field,target_field,gap_class,source_of_truth_outcome,core_action,fill_action,review_needed,recommended_next_source,source_gate,official_source_context,official_capability,official_masterfile_match,official_masterfile_sources,official_masterfile_exposes_isin,official_masterfile_exposes_sector,asx_isin_probe_decision,asx_isin_probe_isin,asx_isin_probe_security_type,asx_resolution_queue,residual_decision,review_bucket,review_priority,review_strategy,apply_eligibility,verification_evidence_required,recommended_next_action
ASX::RAMHA,RAMHA,ASX,Stock,RAMHA,missing_isin_primary,isin,official_identifier_reference_unmatched_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,"Manual exact-name or reviewed-alias resolution against ASX workbook, issuer, or registry evidence.",Do not apply workbook ISIN until the name mismatch is manually resolved with exact listing evidence.,official_masterfile_sources=none;asx_isin_probe_decision=name_mismatch,masterfile_match=false;masterfile_exposes_isin=false;masterfile_exposes_sector=false,false,,false,false,name_mismatch,AU0000420325,BOND 1-BBSW+3.00% 10-04-32 MTH SECUR CUM RED STEP,asx_isin_workbook_name_mismatch_manual_review,accepted_source_gap_requires_exact_name_review,identity_mismatch_requires_manual_review,P1,manual_identity_review_before_asx_isin_apply,blocked_until_identity_mismatch_resolved,manual_exact_name_or_alias_resolution_before_isin_apply,do_not_apply_until_name_mismatch_is_manually_resolved
ASX::AC2,AC2,ASX,ETF,ALLIED CREDIT ABS TRUST 2025-1P,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::AC3,AC3,ASX,ETF,ALLIED CREDIT ABS TRUST 2025-2,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::AF2,AF2,ASX,ETF,ANGLE ASSET FINANCE - RADIAN TRUST 2025-1,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::AF4,AF4,ASX,ETF,AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::AF5,AF5,ASX,ETF,AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::AF6,AF6,ASX,ETF,AFG 2025-1 TRUST IN RESPECT OF SERIES 2025-1,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::AF7,AF7,ASX,ETF,ANGLE ASSET FINANCE - RADIAN TRUST 2025-2,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::AN3,AN3,ASX,Stock,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.,missing_isin_primary,isin,inactive_or_legacy_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
ASX::AO2,AO2,ASX,ETF,APOLLO SERIES 2017-2 TRUST,missing_isin_primary,isin,debt_or_securitized_identifier_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,"asx_listed_companies plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or category enrichment until the listing is reviewed as core, extended, or excluded.",official_masterfile_sources=asx_listed_companies;asx_isin_probe_decision=no_asx_match,masterfile_match=true;masterfile_exposes_isin=false;masterfile_exposes_sector=false,true,asx_listed_companies,false,false,no_asx_match,,,core_exclusion_candidate_identifier_scope_review,core_exclusion_candidate_requires_scope_review,scope_review_before_any_data_fill,P1,scope_review_before_asx_identifier_enrichment,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_identifier_or_category_fill,review_scope_before_identifier_or_category_enrichment
