exchange,weak_sector_resolution_queue,official_masterfile_sources,official_masterfile_sector_values,rows,review_priority,action_queue,review_strategy,evidence_required,source_gate,recommended_next_action,gap_class_totals,source_of_truth_outcome_totals,example_listing_keys
CSE_LK,core_exclusion_candidate_scope_review_before_sector_fill,cse_lk_all_security_code|cse_lk_company_info_summary,,3,P1,decide_scope_before_sector_enrichment,scope_review_before_weak_sector_enrichment,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,"No sector fill until scope is decided as core, extended, or excluded.",Resolve listing scope first; only core or explicitly extended listings may continue to sector enrichment.,fundlike_stock_sector_gap:3,core_exclusion_candidate:3,CSE_LK::GUAR.N0000|CSE_LK::LVEF.N0000|CSE_LK::NAVF.U0000
PSE,core_exclusion_candidate_scope_review_before_sector_fill,pse_listed_company_directory,,9,P1,decide_scope_before_sector_enrichment,scope_review_before_weak_sector_enrichment,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,"No sector fill until scope is decided as core, extended, or excluded.",Resolve listing scope first; only core or explicitly extended listings may continue to sector enrichment.,fundlike_stock_sector_gap:4;shell_or_cpc_sector_gap:5,core_exclusion_candidate:9,PSE::ALLHC|PSE::ALTER|PSE::CREIT|PSE::DDMPR|PSE::DITO|PSE::FILRT|PSE::LPZ|PSE::PREIT
SEM,core_exclusion_candidate_scope_review_before_sector_fill,none,,1,P1,decide_scope_before_sector_enrichment,scope_review_before_weak_sector_enrichment,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,"No sector fill until scope is decided as core, extended, or excluded.",Resolve listing scope first; only core or explicitly extended listings may continue to sector enrichment.,fundlike_stock_sector_gap:1,core_exclusion_candidate:1,SEM::DELN
SEM,core_exclusion_candidate_scope_review_before_sector_fill,sem_isin,,1,P1,decide_scope_before_sector_enrichment,scope_review_before_weak_sector_enrichment,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,"No sector fill until scope is decided as core, extended, or excluded.",Resolve listing scope first; only core or explicitly extended listings may continue to sector enrichment.,fundlike_stock_sector_gap:1,core_exclusion_candidate:1,SEM::NITL
NGX,official_sector_candidate_normalization_review,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,5,P1,review_official_sector_value_to_canonical_mapping,normalize_official_sector_candidate_before_apply,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,Do not map broad official labels without an explicit canonical-sector rule and exact listing-key evidence.,Review whether the official raw sector value can be mapped to a canonical sector; leave sector blank unless that mapping is defensible.,official_industry_taxonomy_unavailable_gap:5,accepted_source_gap:5,NGX::CHELLARAM|NGX::CUSTODIAN|NGX::JOHNHOLT|NGX::TRANSCORP|NGX::UACN
NGX,official_sector_candidate_normalization_review,ngx_company_profile_directory|ngx_equities_price_list,INVESTMENT,1,P1,review_official_sector_value_to_canonical_mapping,normalize_official_sector_candidate_before_apply,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,Do not map broad official labels without an explicit canonical-sector rule and exact listing-key evidence.,Review whether the official raw sector value can be mapped to a canonical sector; leave sector blank unless that mapping is defensible.,official_industry_taxonomy_unavailable_gap:1,accepted_source_gap:1,NGX::VFDGROUP
NGX,official_sector_candidate_normalization_review,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,18,P1,review_official_sector_value_to_canonical_mapping,normalize_official_sector_candidate_before_apply,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,Do not map broad official labels without an explicit canonical-sector rule and exact listing-key evidence.,Review whether the official raw sector value can be mapped to a canonical sector; leave sector blank unless that mapping is defensible.,official_industry_taxonomy_unavailable_gap:18,accepted_source_gap:18,NGX::ABCTRANS|NGX::ACADEMY|NGX::AFROMEDIA|NGX::CAVERTON|NGX::CILEASING|NGX::DAARCOMM|NGX::EUNISELL|NGX::IKEJAHOTEL
CSE_MA,venue_official_taxonomy_unavailable_source_gap,none,,64,P2,restore_or_add_venue_official_taxonomy_parser,restore_or_add_venue_official_taxonomy_parser,new_or_restored_official_venue_industry_taxonomy_source,Keep sector blank until a venue-official taxonomy parser or source exists.,Add or restore a parser for an official venue industry or sector taxonomy source before any sector fill.,official_industry_taxonomy_unavailable_gap:64,accepted_source_gap:64,CSE_MA::AFMA|CSE_MA::AFRIC-INDU|CSE_MA::AFRIQUIA-G|CSE_MA::AGMA|CSE_MA::AKDITAL|CSE_MA::ALLIANCES|CSE_MA::ALUMINIUM-|CSE_MA::ARADEI-CAP
Euronext,venue_official_taxonomy_unavailable_source_gap,none,,8,P2,restore_or_add_venue_official_taxonomy_parser,restore_or_add_venue_official_taxonomy_parser,new_or_restored_official_venue_industry_taxonomy_source,Keep sector blank until a venue-official taxonomy parser or source exists.,Add or restore a parser for an official venue industry or sector taxonomy source before any sector fill.,official_industry_taxonomy_unavailable_gap:8,accepted_source_gap:8,Euronext::1053P|Euronext::BE01725053|Euronext::BE09412435|Euronext::BE09412445|Euronext::BE09442646|Euronext::FORSE|Euronext::MLMCA|Euronext::SSS2D
OSL,venue_official_taxonomy_unavailable_source_gap,none,,5,P2,restore_or_add_venue_official_taxonomy_parser,restore_or_add_venue_official_taxonomy_parser,new_or_restored_official_venue_industry_taxonomy_source,Keep sector blank until a venue-official taxonomy parser or source exists.,Add or restore a parser for an official venue industry or sector taxonomy source before any sector fill.,official_industry_taxonomy_unavailable_gap:5,accepted_source_gap:5,OSL::EISP|OSL::ELOO|OSL::LOKOS|OSL::SCOIN|OSL::SMCRT
SEM,venue_official_taxonomy_unavailable_source_gap,none,,2,P2,restore_or_add_venue_official_taxonomy_parser,restore_or_add_venue_official_taxonomy_parser,new_or_restored_official_venue_industry_taxonomy_source,Keep sector blank until a venue-official taxonomy parser or source exists.,Add or restore a parser for an official venue industry or sector taxonomy source before any sector fill.,official_industry_taxonomy_unavailable_gap:2,accepted_source_gap:2,SEM::GOLI|SEM::LAVA
BK,official_masterfile_without_sector_source_gap,boursa_kuwait_stocks,,102,P3,seek_official_masterfile_or_issuer_sector_update,keep_blank_until_official_masterfile_or_issuer_sector_source,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,Look for an updated venue masterfile or issuer taxonomy with listing-keyed sector evidence.,official_industry_taxonomy_unavailable_gap:102,accepted_source_gap:102,BK::AAYAN|BK::AAYANRE|BK::ABAR|BK::ACICO|BK::AINS|BK::ALAQARIA|BK::ALDEERA|BK::ALFTAQA
CSE_LK,official_masterfile_without_sector_source_gap,cse_lk_all_security_code|cse_lk_company_info_summary,,140,P3,seek_official_masterfile_or_issuer_sector_update,keep_blank_until_official_masterfile_or_issuer_sector_source,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,Look for an updated venue masterfile or issuer taxonomy with listing-keyed sector evidence.,official_industry_taxonomy_unavailable_gap:140,accepted_source_gap:140,CSE_LK::AAF.P0000|CSE_LK::ABAN.N0000|CSE_LK::AFS.N0000|CSE_LK::AGPL.N0000|CSE_LK::AGST.X0000|CSE_LK::AHPL.N0000|CSE_LK::AHUN.N0000|CSE_LK::AINS.N0000
Euronext,official_masterfile_without_sector_source_gap,euronext_equities,,124,P3,seek_official_masterfile_or_issuer_sector_update,keep_blank_until_official_masterfile_or_issuer_sector_source,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,Look for an updated venue masterfile or issuer taxonomy with listing-keyed sector evidence.,official_industry_taxonomy_unavailable_gap:124,accepted_source_gap:124,Euronext::AELIS|Euronext::AL2SI|Euronext::ALAFY|Euronext::ALAGO|Euronext::ALAIR|Euronext::ALAMA|Euronext::ALATI|Euronext::ALAUD
OSL,official_masterfile_without_sector_source_gap,euronext_equities,,53,P3,seek_official_masterfile_or_issuer_sector_update,keep_blank_until_official_masterfile_or_issuer_sector_source,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,Look for an updated venue masterfile or issuer taxonomy with listing-keyed sector evidence.,official_industry_taxonomy_unavailable_gap:53,accepted_source_gap:53,OSL::ACED|OSL::AIX|OSL::AKOBO|OSL::ASAS|OSL::B2I|OSL::BARRA|OSL::BIEN|OSL::BRUT
PSE,official_masterfile_without_sector_source_gap,pse_listed_company_directory,,67,P3,seek_official_masterfile_or_issuer_sector_update,keep_blank_until_official_masterfile_or_issuer_sector_source,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,Look for an updated venue masterfile or issuer taxonomy with listing-keyed sector evidence.,official_industry_taxonomy_unavailable_gap:67,accepted_source_gap:67,PSE::ACEN|PSE::ALLDY|PSE::ANS|PSE::APVI|PSE::ASLAG|PSE::ATNB|PSE::BALAI|PSE::BDO
SEM,official_masterfile_without_sector_source_gap,sem_isin,,43,P3,seek_official_masterfile_or_issuer_sector_update,keep_blank_until_official_masterfile_or_issuer_sector_source,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,Look for an updated venue masterfile or issuer taxonomy with listing-keyed sector evidence.,official_industry_taxonomy_unavailable_gap:43,accepted_source_gap:43,SEM::AEIB|SEM::AFRP|SEM::ANGM|SEM::ASCE-A|SEM::CHSL|SEM::CIEL|SEM::DCPL|SEM::EATS
