source_key,exchange,ticker,asset_type,listing_status,isin,cfi,cfi_prefix,cfi_review_decision,guard_decision,leakage_class,evidence_source,source_gate,recommended_action
ngm_market_data_equities,STO,ASTOR,Stock,active,SE0019175274,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,ATANA,Stock,active,SE0010547273,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,BLUE,Stock,active,SE0015382148,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,CAPS,Stock,active,SE0024989750,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,CPE-I,Stock,active,SE0012012268,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,CRUST-B,Stock,active,SE0020355188,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,F2M,Stock,active,SE0011414283,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,FRNT-B,Stock,active,SE0005337920,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,GMERC-B,Stock,active,SE0022087680,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,GTG,Stock,active,SE0026876179,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,HMPLY,Stock,active,SE0014402400,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
ngm_market_data_equities,STO,HYCO,Stock,active,SE0015345897,ESVUFR,ES,accepted_common_stock_cfi_evidence,accepted_or_not_applicable,,cfi,"Official CFI evidence is a review gate only; it never fills identifiers, names, sectors, categories, or listings without exact listing identity, checksum, and no-collision gates.",keep_as_review_evidence
