listing_key,ticker,exchange,review_kind,classification,decision_candidate,safe_action,confidence,evidence_needed,rationale,do_not_apply_reason
NASDAQ::IAC,IAC,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.",Low name similarity score 0.0 indicates severe mismatch between local name 'IAC Inc.' and twelvedata name 'People Incorporated'. No evidence of a rename or different security.,Names do not match; applying a different name without verification would corrupt the database.
OTC::TREP,TREP,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.","Low name similarity score 0.0 indicates severe mismatch between local name 'Afinida, Inc.' and twelvedata name 'Trucept Inc.'. No evidence of a rename or different security.",Names do not match; applying a different name without verification would corrupt the database.
NASDAQ::LITM,LITM,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.15,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.",Low name similarity score 0.042 indicates severe mismatch between local name 'Snow Lake Resources Ltd' and twelvedata name 'Frontier Nuclear and Minerals Inc.'. No evidence of a rename or different security.,Names do not match; applying a different name without verification would corrupt the database.
OTC::MDIN,MDIN,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.","Low name similarity score 0.05 indicates severe mismatch between local name 'Northstar Global Business Services Inc' and twelvedata name 'MedGen, Inc.'. No evidence of a rename or different security.",Names do not match; applying a different name without verification would corrupt the database.
OTC::MLMC,MLMC,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.15,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.","Low name similarity score 0.054 indicates severe mismatch between local name 'FrankSpeech Network, Inc.' and twelvedata name 'Mike Lindell Media, Corp.'. No evidence of a rename or different security.",Names do not match; applying a different name without verification would corrupt the database.
OTC::PNXGF,PNXGF,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.",Low name similarity score 0.057 indicates severe mismatch between local name 'Phoenix Group Holdings PLC' and twelvedata name 'Standard Life Plc'. No evidence of a rename or different security.,Names do not match; applying a different name without verification would corrupt the database.
OTC::MSBN,MSBN,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.",Low name similarity score 0.059 indicates severe mismatch between local name 'China Electronics Holdings Inc' and twelvedata name 'Messaben Corporation'. No evidence of a rename or different security.,Names do not match; applying a different name without verification would corrupt the database.
OTC::SBOEF,SBOEF,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.","Low name similarity score 0.067 indicates severe mismatch between local name 'Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft' and twelvedata name 'SBO AG'. Partial abbreviation may suggest a rename, but evidence needed.",Names do not match; applying a different name without verification would corrupt the database.
OTC::BKTH,BKTH,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.","Low name similarity score 0.071 indicates severe mismatch between local name 'MEGOLA INC' and twelvedata name 'Breakthrough Chemistry, Inc.'. No evidence of a rename or different security.",Names do not match; applying a different name without verification would corrupt the database.
OTC::TGSHF,TGSHF,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.",Low name similarity score 0.071 indicates severe mismatch between local name 'Mercanto Holdings Inc.' and twelvedata name 'The Good Shroom Co Inc.'. No evidence of a rename or different security.,Names do not match; applying a different name without verification would corrupt the database.
NASDAQ::POWW,POWW,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.",Low name similarity score 0.074 indicates severe mismatch between local name 'Outdoor Holding Company' and twelvedata name 'Ammo Inc.'. No evidence of a rename or different security.,Names do not match; applying a different name without verification would corrupt the database.
OTC::CHSH,CHSH,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.","Low name similarity score 0.077 indicates severe mismatch between local name 'Eatware Inc' and twelvedata name 'China Shoe Holdings, Inc.'. No evidence of a rename or different security.",Names do not match; applying a different name without verification would corrupt the database.
NASDAQ::QVCGP,QVCGP,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.2,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment; clarification on QVC Group Inc. vs Qurate Retail preferred stock.","Low name similarity score 0.08 indicates severe mismatch between local name 'QVC Group Inc.' and twelvedata name 'Qurate Retail, Inc. - 8.0% Fixed Rate Cumulative Redeemable Preferred Stock'. QVC and Qurate are related, but names differ; evidence needed.",Names do not match; applying a different name without verification would corrupt the database.
OTC::EBYH,EBYH,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.","Low name similarity score 0.08 indicates severe mismatch between local name 'Strainsforpains, Inc.' and twelvedata name 'E-Buy Home Inc.'. No evidence of a rename or different security.",Names do not match; applying a different name without verification would corrupt the database.
NASDAQ::MOVE,MOVE,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment; twelvedata name resembles a bond, while local is a company.","Low name similarity score 0.082 indicates severe mismatch between local name 'Corvex, Inc.' and twelvedata name 'Santa Fe Community College District 5.00% General Obligation Bonds...'. Possible data error or reassignment.",Names do not match; applying a different name without verification would corrupt the database.
NASDAQ::DOMO,DOMO,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment; twelvedata name resembles a bond, while local is a company.",Low name similarity score 0.086 indicates severe mismatch between local name 'Domo Inc' and twelvedata name 'Illinois Housing Development Authority Revenue Bonds...'. Possible data error or reassignment.,Names do not match; applying a different name without verification would corrupt the database.
NASDAQ::LMNX,LMNX,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment; local is an ETF, twelvedata is a company.",Low name similarity score 0.089 indicates severe mismatch between local name 'Defiance Daily Target 2x Long LMND ETF' and twelvedata name 'Luminex Corp.'. Different security types; possible ticker reassignment.,Names do not match; applying a different name without verification would corrupt the database.
OTC::PCLOF,PCLOF,OTC,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official OTC Markets filings, SEC filings, or corporate action announcements confirming a name change or ticker reassignment; twelvedata name resembles a bond, while local is a company.",Low name similarity score 0.091 indicates severe mismatch between local name 'Pharmacielo Ltd' and twelvedata name 'G2TW Bonds 9.5% 1989 Floating Rate'. Possible data error or reassignment.,Names do not match; applying a different name without verification would corrupt the database.
NASDAQ::EMPD,EMPD,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.","Low name similarity score 0.1 indicates severe mismatch between local name 'Empery Digital Inc.' and twelvedata name 'Volcon, Inc.'. No evidence of a rename or different security.",Names do not match; applying a different name without verification would corrupt the database.
NASDAQ::HTO,HTO,NASDAQ,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.1,"Official exchange listing history, SEC filings, or corporate action announcements confirming a name change or ticker reassignment.",Low name similarity score 0.1 indicates severe mismatch between local name 'H2O America' and twelvedata name 'SJW Group'. No evidence of a rename or different security.,Names do not match; applying a different name without verification would corrupt the database.
NYSE::RPC,RPC,NYSE,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official SEC filing or press release confirming whether RPC renamed to P10 Inc. or if these are distinct listings.,"Names have very low similarity (0.1), severe mismatch. Requires official evidence to resolve.","Severe name mismatch, cannot assume same security without proof."
OTC::LNXGF,LNXGF,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official corporate action or SEC filing confirming relationship between Linux Gold Corp and 0187279 BC Ltd.,"Names have very low similarity (0.1), severe mismatch. Requires official evidence to resolve.","Severe name mismatch, cannot assume same security without proof."
OTC::SATLF,SATLF,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official announcement of any name change from Start Today Co., Ltd. to Zozo Inc., or documentation that SATLF ADR corresponds to Zozo.","Names are dissimilar (score 0.105), though a rename is possible. Official evidence is required to confirm.","Severe name mismatch, cannot assume same security without proof."
OTC::FHNPV,FHNPV,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official confirmation that FHNPV represents First Horizon Corporation 6.750% Preferred Stock Series H, or mapping from ticker to full name.","Local name is only the ticker, while Twelve Data provides a full descriptive name. Evidence needed to validate mapping.","Insufficient information to confirm the security, cannot apply without official evidence."
NASDAQ::KYNB,KYNB,NASDAQ,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official SEC filing or press release clarifying whether Kyntra Bio was renamed to FibroGen or if they are separate entities.,"Company names have very low similarity (0.111), severe mismatch. Cannot resolve without official evidence.","Severe name mismatch, cannot assume same security without proof."
OTC::ASPT,ASPT,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official documentation linking Haber Inc to Aladdin Separation Technologies Inc. or confirming they are distinct.,"Names have very low similarity (0.111), severe mismatch. Official evidence is required.","Severe name mismatch, cannot assume same security without proof."
OTC::KWGBF,KWGBF,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official announcement of any rename from Kwg Resources Inc. to The Canadian Chrome Company Inc., or documentation of their relationship.","Names have very low similarity (0.111), though both involve resources. Evidence is needed to determine if this is a rename.","Severe name mismatch, cannot assume same security without proof."
OTC::EIHDF,EIHDF,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official confirmation that 888 Holdings was renamed to Evoke plc, including effective date and ticker mapping.",Names have low similarity (0.118). A rename is plausible but requires official evidence to confirm.,"Severe name mismatch, cannot assume same security without proof."
OTC::SLMNP,SLMNP,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official documentation confirming whether SLMNP represents A. Schulman Inc common stock or LyondellBasell preferred stock.,"Names are completely different (score 0.119) and refer to unrelated entities, indicating a mismatch. Requires official evidence.","Severe name mismatch, cannot assume same security without proof."
NASDAQ::ADAMZ,ADAMZ,NASDAQ,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official SEC filing clarifying the relationship between Adamas Trust, Inc and New York Mortgage Trust preferred stock (Series G).","Local name 'Adamas Trust, Inc' and Twelve Data name refer to different entities; need evidence to resolve.","Severe name mismatch, cannot assume same security without proof."
NASDAQ::KUST,KUST,NASDAQ,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official filing documenting any corporate action linking Kustom Entertainment, Inc. and Digital Ally Inc.",Names have very low similarity (0.125); likely distinct entities. Official evidence required.,"Severe name mismatch, cannot assume same security without proof."
NASDAQ::YYAI,YYAI,NASDAQ,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official SEC filing or press release explaining any relation between AiRWA Inc. and Connexa Sports Technologies Inc.,Low name similarity (0.125) suggests a mismatch; official evidence is needed.,"Severe name mismatch, cannot assume same security without proof."
OTC::BFGFF,BFGFF,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official announcement of any name change from Copper One Resources Corp. to Giant Mining Corp. or evidence of separate entities.,Names have low similarity (0.125); rename possible but needs confirmation.,"Severe name mismatch, cannot assume same security without proof."
OTC::GRPS,GRPS,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,"Official documentation clarifying if Trans American Aquaculture, Inc and Gold River Productions Inc. are the same entity or not.",Low similarity (0.125) and disconnect in business focus; official evidence required.,"Severe name mismatch, cannot assume same security without proof."
OTC::KNDYF,KNDYF,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official filing confirming any corporate action linking Kenadyr Metals Corp and Algo Grande Copper Corp.,Names have very low similarity (0.125); official evidence necessary.,"Severe name mismatch, cannot assume same security without proof."
OTC::OPORF,OPORF,OTC,twelvedata_name_mismatch,needs_official_evidence,needs_official_evidence,needs_official_evidence,0.2,Official announcement of name change from Open Orphan plc to Hvivo Plc.,Low name similarity (0.125); a rename is plausible but requires official confirmation.,"Severe name mismatch, cannot assume same security without proof."
