effective_date,old_symbol,new_symbol,new_company_name,source_exchange_hint,match_status,symbol_change_workflow_queue,exchange_scope_status,old_listing_keys,new_listing_keys,apply_status,apply_status_source,triage_source,triage_status,blocker_reason
2026-08-18,ISSC,IA,Innovative Solutions & Support Inc,US_LISTED,old_symbol_present_new_symbol_missing,review_verified_rename_or_delisting,matches_within_source_scope,NASDAQ::ISSC,,manual_isin_not_proven_unchanged,available,symbol_changes_review,blocked_or_manual,"manual: official active new-symbol evidence exists, but unchanged ISIN/identity is not proven and the old symbol is still present in an official source"
2026-08-18,EQR,VRMK,Vivmark Residential,,old_symbol_present_new_symbol_missing,blocked_missing_source_scope_mapping,unscoped_source_hint,ASX::EQR|FSX::EQR|NYSE::EQR|XSTU::EQR,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,manual: source exchange scope is not mapped to a safe listing-keyed apply path
2026-08-13,NCL,NCLX,Northann Corp,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,FSX::NCL|NYSE::NCL|SET::NCL|WSE::NCL|XSTU::NCL,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: FSX::NCL|NYSE::NCL|SET::NCL|WSE::NCL|XSTU::NCL"
2026-07-31,GV,GVHGF,Visionary Holdings Inc,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,NASDAQ::GV,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: NASDAQ::GV"
2026-05-28,HOTH,RKTO,Rocket One Inc,US_LISTED,old_and_new_symbols_present,review_duplicate_or_cross_listing,matches_within_source_scope,NASDAQ::HOTH,NASDAQ::RKTO,blocked_new_symbol_collision,available,symbol_changes_review,blocked_or_manual,"blocked: new symbol already has dataset listing(s), requiring duplicate/cross-listing review: NASDAQ::RKTO"
2026-05-22,BTM,BTMCQ,Bitcoin Depot Inc,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,ASX::BTM,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: ASX::BTM"
2026-05-20,KFS,KWY,Kingsway Corp,US_LISTED,old_and_new_symbols_present,review_duplicate_or_cross_listing,matches_within_source_scope,NYSE::KFS,NYSE::KWY,blocked_new_symbol_collision,available,symbol_changes_review,blocked_or_manual,"blocked: new symbol already has dataset listing(s), requiring duplicate/cross-listing review: NYSE::KWY"
2026-05-20,IINN,QTEX,Qtrex Quantum Ltd.,US_LISTED,old_and_new_symbols_present,review_duplicate_or_cross_listing,matches_within_source_scope,NASDAQ::IINN,NASDAQ::QTEX,blocked_new_symbol_collision,available,symbol_changes_review,blocked_or_manual,"blocked: new symbol already has dataset listing(s), requiring duplicate/cross-listing review: NASDAQ::QTEX"
2026-05-12,FIHL,PLGO,Pelagos Insurance Capital Ltd.,US_LISTED,old_and_new_symbols_present,review_duplicate_or_cross_listing,matches_within_source_scope,NYSE::FIHL,NYSE::PLGO,blocked_new_symbol_collision,available,symbol_changes_review,blocked_or_manual,"blocked: new symbol already has dataset listing(s), requiring duplicate/cross-listing review: NYSE::PLGO"
2026-05-01,ETHM,DYNC,Dynamix Corp,US_LISTED,old_symbol_present_new_symbol_missing,review_verified_rename_or_delisting,matches_within_source_scope,NASDAQ::ETHM,,manual_isin_not_proven_unchanged,available,symbol_changes_review,blocked_or_manual,"manual: official active new-symbol evidence exists, but unchanged ISIN/identity is not proven and the old symbol is still present in an official source"
2026-04-14,ZGM,ZTG,Zenta Group Co Ltd.,US_LISTED,old_and_new_symbols_present,review_duplicate_or_cross_listing,matches_within_source_scope,NASDAQ::ZGM,NASDAQ::ZTG,blocked_new_symbol_collision,available,symbol_changes_review,blocked_or_manual,"blocked: new symbol already has dataset listing(s), requiring duplicate/cross-listing review: NASDAQ::ZTG"
2026-04-13,CIGL,YOOV,Concorde International Group Ltd.,US_LISTED,old_and_new_symbols_present,review_duplicate_or_cross_listing,matches_within_source_scope,NASDAQ::CIGL,NASDAQ::YOOV,blocked_new_symbol_collision,available,symbol_changes_review,blocked_or_manual,"blocked: new symbol already has dataset listing(s), requiring duplicate/cross-listing review: NASDAQ::YOOV"
2026-04-08,CAPT,CPTAF,Captivision Inc,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,NASDAQ::CAPT|TSXV::CAPT,NASDAQ::CPTAF,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: NASDAQ::CAPT|TSXV::CAPT"
2026-04-02,QH,QHUOY,Quhuo Ltd.,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,NASDAQ::QH|SET::QH,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: NASDAQ::QH|SET::QH"
2026-02-23,KBFR,LVROF,Lavoro Ltd.,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,NYSE ARCA::KBFR,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: NYSE ARCA::KBFR"
2026-02-20,ABP,ABPO,Abpro Holdings Inc,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,Borsa Italiana::ABP,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: Borsa Italiana::ABP"
2025-11-20,OPT,OPTEY,Opthea Ltd.,,old_and_new_symbols_present,blocked_missing_source_scope_mapping,unscoped_source_hint,LSE::OPT,OTC::OPTEY,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,manual: source exchange scope is not mapped to a safe listing-keyed apply path
2025-11-10,EBR,AXIAY,Axia Energia SA,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,ASX::EBR,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: ASX::EBR"
2025-07-29,PET,PETXQ,Wag! Group Co.,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,ASX::PET|LSE::PET|TSX::PET,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: ASX::PET|LSE::PET|TSX::PET"
2025-06-25,SUP,SSUP,Superior Industries International Inc,OTC,symbol_present_only_outside_source_scope,blocked_out_of_scope_symbol_collision,global_symbol_collision_outside_source_scope,LSE::SUP,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,"blocked: secondary feed scope is OTC, but old symbol matches dataset listing(s) outside that scope: LSE::SUP"
2025-05-15,WW,WGHTQ,Ww International Inc,,old_symbol_present_new_symbol_missing,blocked_missing_source_scope_mapping,unscoped_source_hint,NASDAQ::WW,,manual_non_us_or_unscoped_source,available,symbol_changes_review,blocked_or_manual,manual: source exchange scope is not mapped to a safe listing-keyed apply path
