priority_rank,exchange,venue_name,country,current_status,tickers,missing_isin,missing_sector_or_category,unresolved_findings,official_source_count,reference_scopes,candidate_key,candidate_scope,provider,asset_types,expected_format,source_url,implementation_status,priority,review_needed,blocker,notes
1,STO,Nasdaq Stockholm,Sweden,official_partial,725,0,239,0,8,listed_companies_subset,nasdaq_nordic_stockholm_full_search,source_expansion_candidate,Nasdaq Nordic,Stock|ETF,nasdaq_nordic_screener_json,https://api.nasdaq.com/api/nordic/screener/shares,implemented,high,false,"reconciled through existing official Nasdaq Nordic Stockholm shares, share-search, ETF, tracker, Spotlight, and NGM feeds","The current official source layer already has Stockholm screener/search feeds plus adjacent Swedish venue feeds for Spotlight and NGM. Remaining STO gaps are field-level metadata or listing normalization work, not a missing source-discovery item."
2,EGX,Egyptian Exchange,Egypt,official_partial,225,0,29,34,1,listed_companies_subset,egx_listed_securities,exchange_directory_candidate,EGX,Stock|ETF,html_or_api,https://www.egx.com.eg/en/ListedStocks.aspx,implemented,high,false,implemented via browser-captured official ASP.NET ViewState; raw non-browser requests still hit the EGX/TSPD challenge,"The official EGX ListedStocks.aspx page exposes company name, ISIN, and EGX sector in __VIEWSTATE after the browser challenge. The parser conservatively matches by existing EGX ISIN because the decoded strings do not expose a clean ticker column."
3,ASX,Australian Securities Exchange,Australia,official_partial,1298,105,187,30,2,listed_companies_subset,asx_cash_market_directory,source_expansion_candidate,ASX,Stock|ETF,asx_listed_companies_csv,https://www.asx.com.au/asx/research/ASXListedCompanies.csv,implemented,high,false,implemented by mapping the existing official ASX listed-companies CSV GICS industry-group column to canonical stock_sector values,"The reachable official ASX listed-companies CSV exposes Company name, ASX code, and GICS industry group. Parser keeps the existing ASX symbol/name coverage and now maps GICS industry groups to canonical stock sectors; Not Applic/Class Pend remain empty and ETF categories still require the ASX investment-products workbook or name classifier."
4,ATHEX,Athens Stock Exchange,Greece,official_partial,117,19,0,26,1,listed_companies_subset,athex_sector_classification,listed_companies_candidate,ATHEX,Stock|ETF,pdf,https://www.athexgroup.gr/documents/10180/5517704/ATHEX%2BClassification%2BVer0.810%2B%28EN%29.pdf/5c49a27d-1078-4974-990b-5a5e1f278b73,implemented,high,false,active stock-market pages are Incapsula-blocked from this environment; implemented reachable official sector-classification PDF as a conservative listed-company subset,"The official ATHEX sector-classification PDF exposes ISIN, symbol, company name, and sector classification for many current ATHEX stock rows. A true active exchange-directory endpoint is still needed for full ATHEX coverage."
5,SZSE,Shenzhen Stock Exchange,China,official_partial,3083,487,337,1,3,listed_companies_subset,szse_industry_classification,source_expansion_candidate,SZSE,Stock|ETF,szse_report_json,https://www.szse.cn/market/product/stock/list/index.html,implemented,high,false,implemented via existing official SZSE report-list industry fields,SZSE A/B-share report rows and workbooks expose official 所属行业/sshymc CSRC industry values. The parser now maps those top-level CSRC codes to canonical stock_sector values; ETF category gaps still need a fund taxonomy/name-classifier path.
6,SSE,Shanghai Stock Exchange,China,official_partial,2789,614,479,1,2,listed_companies_subset,sse_industry_classification,source_expansion_candidate,SSE,Stock|ETF,sse_common_query_json,https://www.sse.com.cn/assortment/stock/list/share/,implemented,high,false,implemented via existing official SSE stock-list CSRC_CODE fields,SSE stock-list records expose official CSRC industry codes/descriptions. The parser now maps those top-level CSRC codes to canonical stock_sector values; ETF category gaps still need a fund taxonomy/name-classifier path.
7,TPEX,Taipei Exchange,Taiwan,official_partial,1118,0,0,0,4,listed_companies_subset,stockanalysis_tpex_company_profiles,source_expansion_candidate,StockAnalysis,Stock|ETF,stockanalysis_company_profile_html_review,https://stockanalysis.com/quote/tpex/{ticker}/company/,implemented,medium,true,resolved by scripts/backfill_stockanalysis_metadata.py as a reviewed secondary company-profile source because official TPEX/MOPS feeds identify the KY issuers but do not expose their foreign ISINs,"TPEX stock-sector and ETF-category coverage is complete for the current universe after the official TPEX/MOPS parser work. The remaining KY foreign-issuer ISIN tail was filled from StockAnalysis company pages through metadata_updates.csv with exact exchange URL, issuer-name, and ISIN-checksum gates; it is intentionally labeled as reviewed secondary metadata, not official exchange data."
8,SIX,SIX Swiss Exchange,Switzerland,official_partial,743,0,0,0,4,listed_companies_subset,six_shares_explorer_full,source_expansion_candidate,SIX,Stock,six_share_details_fqs_json,https://www.six-group.com/fqs/ref.json,implemented,medium,false,implemented via the official SIX FQS ref.json detail endpoint; residual gaps are now data-level taxonomy mapping only,The parser queries current SIX listing gaps by ISIN and maps official IndustrySectorDesc for stocks plus AssetClassDesc for ETF categories. Rows are gated back to the local SIX listing by ISIN and preserve the local ticker when the official ValorSymbol differs from the dataset ticker.
9,HOSE,Ho Chi Minh Stock Exchange,Vietnam,official_partial,153,0,0,0,3,listed_companies_subset,stockanalysis_hose_company_profiles,source_expansion_candidate,StockAnalysis,Stock|ETF,stockanalysis_company_profile_html_review,https://stockanalysis.com/quote/hose/{ticker}/company/,implemented,medium,true,resolved by scripts/backfill_stockanalysis_metadata.py as a reviewed secondary company-profile source after official HOSE/VSDC feeds did not expose the single LCG stock-sector residual,"Existing HOSE stock, ETF, and fund-certificate sources cover current HOSE identifiers. The residual LCG sector was filled from StockAnalysis company-profile industry metadata through metadata_updates.csv with issuer-name and exact exchange URL gates; it is intentionally labeled as reviewed secondary metadata, not official exchange data."
10,BMV,Bolsa Mexicana de Valores,Mexico,official_partial,179,19,5,150,4,listed_companies_subset,bmv_market_data_securities,source_expansion_candidate,BMV,Stock|ETF,bmv_market_data_security_pages_html,https://www.bmv.com.mx/es/emisoras/estadisticas,implemented,medium,false,implemented via official BMV issuer market-data/profile pages; some local trust/equity rows still omit ISIN in the reachable BMV instrument table,The official BMV search feed exposes issuer IDs and the issuer estadisticas/perfil pages expose instrument ISIN rows plus stock-sector and ETF taxonomy labels. Parser uses search only as the page locator and gates output by current BMV listings.
