listing_key,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,deepseek_decision_candidate,deepseek_safe_action,deepseek_confidence,provider_queue,validation_status,evidence_required
NASDAQ::IAC,IAC,NASDAQ,XNGS,IAC Inc.,People Incorporated,Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::TREP,TREP,OTC,PINX,"Afinida, Inc.",Trucept Inc.,Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::LITM,LITM,NASDAQ,XNCM,Snow Lake Resources Ltd,Frontier Nuclear and Minerals Inc.,Common Stock,0.042,needs_official_evidence,needs_official_evidence,0.15,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::MDIN,MDIN,OTC,PINX,Northstar Global Business Services Inc,"MedGen, Inc.",Common Stock,0.05,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::MLMC,MLMC,OTC,PINX,"FrankSpeech Network, Inc.","Mike Lindell Media, Corp.",Common Stock,0.054,needs_official_evidence,needs_official_evidence,0.15,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::PNXGF,PNXGF,OTC,PINX,Phoenix Group Holdings PLC,Standard Life Plc,Common Stock,0.057,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::MSBN,MSBN,OTC,PINX,China Electronics Holdings Inc,Messaben Corporation,Common Stock,0.059,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::SBOEF,SBOEF,OTC,PINX,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft,SBO AG,Common Stock,0.067,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::BKTH,BKTH,OTC,PINX,MEGOLA INC,"Breakthrough Chemistry, Inc.",Common Stock,0.071,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::TGSHF,TGSHF,OTC,PINX,Mercanto Holdings Inc.,The Good Shroom Co Inc.,Common Stock,0.071,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::POWW,POWW,NASDAQ,XNCM,Outdoor Holding Company,Ammo Inc.,Common Stock,0.074,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::CHSH,CHSH,OTC,EXPM,Eatware Inc,"China Shoe Holdings, Inc.",Common Stock,0.077,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::QVCGP,QVCGP,NASDAQ,XNCM,QVC Group Inc.,"Qurate Retail, Inc. - 8.0% Fixed Rate Cumulative Redeemable Preferred Stock",Common Stock,0.08,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::EBYH,EBYH,OTC,PINX,"Strainsforpains, Inc.",E-Buy Home Inc.,Common Stock,0.08,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::MOVE,MOVE,NASDAQ,XNCM,"Corvex, Inc.","Santa Fe Community College District 5.00% General Obligation Bonds, Series A, due August 1, 2025",Common Stock,0.082,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::DOMO,DOMO,NASDAQ,XNMS,Domo Inc,Illinois Housing Development Authority Revenue Bonds Series A2 Refunding 3% due 08/01/2023,Common Stock,0.086,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::LMNX,LMNX,NASDAQ,XNGS,Defiance Daily Target 2x Long LMND ETF,Luminex Corp.,Common Stock,0.089,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::PCLOF,PCLOF,OTC,PINX,Pharmacielo Ltd,G2TW Bonds 9.5% 1989 Floating Rate,Common Stock,0.091,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::EMPD,EMPD,NASDAQ,XNMS,Empery Digital Inc.,"Volcon, Inc.",Common Stock,0.1,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::HTO,HTO,NASDAQ,XNGS,H2O America,SJW Group,Common Stock,0.1,needs_official_evidence,needs_official_evidence,0.1,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NYSE::RPC,RPC,NYSE,XNYS,"Ridgepost Capital, Inc",P10 Inc.,Common Stock,0.1,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::LNXGF,LNXGF,OTC,EXPM,Linux Gold Corp,0187279 BC Ltd.,Common Stock,0.1,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::SATLF,SATLF,OTC,PINX,"Start Today Co., Ltd./ADR",Zozo Inc.,Common Stock,0.105,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::FHNPV,FHNPV,OTC,PINX,FHNPV,"First Horizon Corporation 6.750% Non-Cumulative Perpetual Preferred Stock, Series H",Preferred Stock,0.108,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::KYNB,KYNB,NASDAQ,XNGS,"Kyntra Bio, Inc.","FibroGen, Inc.",Common Stock,0.111,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::ASPT,ASPT,OTC,PINX,Haber Inc,Aladdin Separation Technologies Inc.,Common Stock,0.111,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::KWGBF,KWGBF,OTC,PINX,The Canadian Chrome Company Inc.,Kwg Resources Inc.,Common Stock,0.111,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::EIHDF,EIHDF,OTC,PINX,888 Holdings,Evoke plc,Common Stock,0.118,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
OTC::SLMNP,SLMNP,OTC,PINX,A. Schulman Inc,LyondellBasell Industries N.V. 6% Perpetual Preferred Stock,Preferred Stock,0.119,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
NASDAQ::ADAMZ,ADAMZ,NASDAQ,XNMS,"Adamas Trust, Inc","New York Mortgage Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",Common Stock,0.124,needs_official_evidence,needs_official_evidence,0.2,openfigi|alphavantage|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence."
