listing_key,ticker,exchange,review_kind,classification,decision_candidate,safe_action,confidence,evidence_needed,rationale,do_not_apply_reason
ASX::AYUHD,AYUHD,ASX,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., prospectus, corporate action notice) to confirm whether Australian Unity Limited is the same entity as the one with empty name in Twelve Data, or if it's a different security.",Local name 'Australian Unity Limited' but Twelve Data name is empty; name_score 0.0 indicates severe mismatch. No official evidence provided to determine if it's a rename or different security.,No official evidence to confirm identity.
BSE_IN::PASUFIN,PASUFIN,BSE_IN,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., company filings, exchange notice) to confirm whether Pasupati Fincap Ltd is the same as the entity with empty name in Twelve Data.",Local name 'Pasupati Fincap Ltd' but Twelve Data name is empty; name_score 0.0 indicates severe mismatch. No official evidence provided.,No official evidence to confirm identity.
HKEX::03958,03958,HKEX,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., HKEX corporate action notice, company announcement) to confirm whether DFZQ is the same as Orient Securities Co., Ltd. or if it's a different security.","Local name 'DFZQ' vs Twelve Data name 'Orient Securities Co., Ltd.'; name_score 0.0 indicates severe mismatch. Possible rename or different entity; no official evidence provided.",No official evidence to confirm identity.
HKEX::09890,09890,HKEX,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., HKEX filing, company announcement) to confirm whether TANWAN is the same as ZX Inc. or a different security.",Local name 'TANWAN' vs Twelve Data name 'ZX Inc.'; name_score 0.0 indicates severe mismatch. No official evidence provided.,No official evidence to confirm identity.
LSE::0QK3,0QK3,LSE,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., LSE corporate action notice, company announcement) to confirm whether Dufry AG renamed to Avolta AG or if they are different securities.",Local name 'Dufry AG' vs Twelve Data name 'Avolta AG'; name_score 0.0 indicates severe mismatch. Possible rename; no official evidence provided.,No official evidence to confirm rename.
TSE::299A,299A,TSE,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., TSE corporate action notice, company filing) to confirm whether Kurashiru,Inc. renamed to Dely Inc or if they are different securities.","Local name 'Kurashiru,Inc.' vs Twelve Data name 'Dely Inc'; name_score 0.0 indicates severe mismatch. Possible rename; no official evidence provided.",No official evidence to confirm rename.
TSE::3423,3423,TSE,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., TSE notice, company announcement) to confirm whether S E Corporation is the same as Se Corp or a different security.",Local name 'S E Corporation' vs Twelve Data name 'Se Corp'; name_score 0.0 indicates severe mismatch. Possible abbreviation or different entity; no official evidence provided.,No official evidence to confirm identity.
HKEX::01757,01757,HKEX,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., HKEX filing, company announcement) to confirm whether GLOBAL CHI-1K is the same as Affluent Foundation Holdings or a different security.",Local name 'GLOBAL CHI-1K' vs Twelve Data name 'Affluent Foundation Holdings'; name_score 0.049 indicates severe mismatch. No official evidence provided.,No official evidence to confirm identity.
LSE::67GX,67GX,LSE,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., LSE corporate action notice, company announcement) to confirm whether ZIGUP PLC 5% CUM PRF 50P is the same as Redde Northgate PLC or a different security (e.g., preferred vs common).","Local name indicates a preferred stock, while Twelve Data name is a common stock; name_score 0.059 indicates severe mismatch. No official evidence provided.",No official evidence to confirm identity or security type.
TSE::3358,3358,TSE,twelvedata_name_mismatch,uncertain,needs_official_evidence,needs_official_evidence,0.0,"Official evidence (e.g., TSE notice, company filing) to confirm whether Trailhead Global Holdings,Inc. is the same as Y.S. Food Co., Ltd. or a different security.","Local name 'Trailhead Global Holdings,Inc.' vs Twelve Data name 'Y.S. Food Co., Ltd.'; name_score 0.061 indicates severe mismatch. No official evidence provided.",No official evidence to confirm identity.
