priority_rank,listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,allowed_source_path,apply_eligibility,source_gate,next_action
1,NASDAQ::ACAA,ACAA,NASDAQ,Stock,Averin Capital Acquisition Corp.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::ACCL,ACCL,NASDAQ,Stock,Acco Group Holdings Limited Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::ACGC,ACGC,NASDAQ,Stock,ACP Holdings Acquisition Corp.,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::ADAMM,ADAMM,NASDAQ,Stock,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable",debt_or_securitized_identifier_gap,core_exclusion_candidate,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",blocked_until_core_or_extended_scope_decision,scope_review_required_before_isin_work;require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact instrument code/name and ISIN checksum; never issuer-equity propagation.,review official instrument scope before identifier enrichment
1,NASDAQ::AESP,AESP,NASDAQ,Stock,Aeon Acquisition I Corp. - Class A Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::AIIR,AIIR,NASDAQ,Stock,Air Global PLC - Ordinary shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::AIXI,AIXI,NASDAQ,Stock,Xiao-I Corporation,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::ALP,ALP,NASDAQ,Stock,Alpha Compute Corp,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::ALPS,ALPS,NASDAQ,Stock,ALPS Group Inc,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::AMAN,AMAN,NASDAQ,Stock,Amanat Acquisition Corp,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
1,NASDAQ::APMC,APMC,NASDAQ,Stock,AmperCap Acquisition Company - Ordinary Shares,official_identifier_not_exposed_source_gap,accepted_source_gap,"OpenFIGI ticker→FIGI→ISIN, GLEIF ISIN↔LEI reverse match, or ESMA/FCA FIRDS when venue evidence matches",eligible_only_after_allowed_source_identity_checksum_and_no_collision_gates,require_valid_isin_checksum_exact_listing_identity_match_and_no_existing_listing_or_identifier_collision;Exact symbol/name and direct ISIN evidence; do not infer from issuer name or exchange membership.,probe OpenFIGI/GLEIF/FIRDS candidates and apply only through collision gates
