listing_key,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,deepseek_decision_candidate,deepseek_safe_action,deepseek_confidence,provider_queue,validation_status,evidence_required,review_batch
ASX::AYUHD,AYUHD,ASX,XASX,Australian Unity Limited,,Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
BSE_IN::PASUFIN,PASUFIN,BSE_IN,XBOM,Pasupati Fincap Ltd,,Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
HKEX::03958,03958,HKEX,XHKG,DFZQ,"Orient Securities Co., Ltd.",Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
HKEX::09890,09890,HKEX,XHKG,TANWAN,ZX Inc.,Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
LSE::0QK3,0QK3,LSE,XLON,Dufry AG,Avolta AG,Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
TSE::299A,299A,TSE,XJPX,"Kurashiru,Inc.",Dely Inc,Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
TSE::3423,3423,TSE,XJPX,S E Corporation,Se Corp,Common Stock,0.0,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
HKEX::01757,01757,HKEX,XHKG,GLOBAL CHI-1K,Affluent Foundation Holdings,Common Stock,0.049,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
LSE::67GX,67GX,LSE,XLON,ZIGUP PLC 5% CUM PRF 50P,Redde Northgate PLC,Common Stock,0.059,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
TSE::3358,3358,TSE,XJPX,"Trailhead Global Holdings,Inc.","Y.S. Food Co., Ltd.",Common Stock,0.061,needs_official_evidence,needs_official_evidence,0.0,openfigi|fmp,pending_provider_env,"At least one second source matching ticker, venue, and issuer identity before any name or metadata apply. DeepSeek triage alone is not apply evidence.",batch_c_high_value_international
