ticker,exchange,reason
PFBC,NASDAQ,"Common-stock operating bank named 'Preferred Bank'; PREFERRED_PATTERN false-positive. News-observed (issue #125)."
PHXE-P,NYSE,"Official SEC exchange-directory row classifies Phoenix Energy One, LLC as active Stock; the -P ticker shape is a false-positive preferred-pattern match."
SAJ,NYSE,"Exchange-listed baby bond (8.00% Notes due 2027); in-scope per issue #125 preferred/notes policy."
STRD,NASDAQ,"Exchange-listed perpetual preferred (Strategy Stride); in-scope per issue #125 preferred/notes policy."
STRF,NASDAQ,"Exchange-listed perpetual preferred (Strategy Strife); in-scope per issue #125 preferred/notes policy."
BRKRP,NASDAQ,"Exchange-listed mandatory convertible preferred (Bruker); in-scope per issue #125 preferred/notes policy."
BBD.PR.D,TSX,"Exchange-listed Bombardier Series 3 preferred shares; reviewed home listing admitted under the preferred/notes scope policy."
46T,FSX,"Existing Frankfurt listing for GPT Group; Deutsche Boerse T7 labels the dual listing UNITS. Keep until official delisting evidence exists."
ICP,FSX,"Existing Frankfurt listing; T7 mnemonic UNIT. is an abbreviation, not a unit security type. Keep until official delisting evidence exists."
MY4,FSX,"Existing Frankfurt listing for Goodman Group; Deutsche Boerse T7 labels the dual listing UNITS. Keep until official delisting evidence exists."
