listing_key,ticker,exchange,current_name,proposed_name,twelvedata_type,name_score,supporting_providers,supporting_provider_names,figi_evidence,deepseek_decision_candidate,deepseek_safe_action,apply_status,apply_gate,recommended_operation,review_batch
TSXV::RPX,RPX,TSXV,Red Pine Exploration Inc.,RPX Gold Inc.,Common Stock,0.143,OpenFIGI,OpenFIGI:RPX GOLD INC,BBG000BV9N99,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSX::SAPS,SAPS,TSX,SAP CDR (CAD Hedged),SAPS,Common Stock,0.273,OpenFIGI,OpenFIGI:SAP SE,BBG01S1VLCF1,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
NEO::SAPG,SAPG,NEO,SAP SE CDR (CAD Hedged),SAP SE,Depositary Receipt,0.286,OpenFIGI,OpenFIGI:SAP SE,BBG01SCL1V89,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSXV::RDS,RDS,TSXV,Ressources Minieres Radisson Inc,Radisson Mining Resources Inc.,Common Stock,0.302,OpenFIGI,OpenFIGI:RADISSON MINING RESOURCES,BBG000BCGK71,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSXV::MKT,MKT,TSXV,DeepMarkit Corp.,Prospect Prediction Markets Inc.,Common Stock,0.324,OpenFIGI,OpenFIGI:PROSPECT PREDICTION MARKETS,BBG000VDCTL6,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
NEO::ZVST,ZVST,NEO,VISTRA (VST) BMO CDR (CAD HEDGED),Vistra Corp.,Depositary Receipt,0.343,OpenFIGI,OpenFIGI:VISTRA CORP,BBG01YW4S6Z8,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSXV::ILC,ILC,TSXV,International Lithium Corp.,ILC Critical Minerals Ltd.,Common Stock,0.381,OpenFIGI,OpenFIGI:ILC CRITICAL MINERALS LTD,BBG000LRHGG5,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
NEO::ZMSF,ZMSF,NEO,MICROSOFT (MSFT) BMO CDR (CAD HEDGED),Microsoft Corporation,Depositary Receipt,0.429,OpenFIGI,OpenFIGI:MICROSOFT CORP,BBG01YRL8BR6,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSX::PIF,PIF,TSX,Polaris Infrastructure Inc,Polaris Renewable Energy Inc.,Common Stock,0.435,OpenFIGI,OpenFIGI:POLARIS RENEWABLE ENERGY INC,BBG000CC0V00,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
TSX::INGS,INGS,TSX,ING CDR (CAD Hedged),ING Groep N.V.,Depositary Receipt,0.452,OpenFIGI,OpenFIGI:ING GROEP NV,BBG01S83B6K4,needs_official_evidence,needs_official_evidence,manual_review_required,"Do not apply automatically. Confirm exact listing identity with official or identifier evidence, then apply in a small reviewed batch with rebuild and validation gates.",review_name_update,batch_b_canada
